Supplementary Table 2. Phase separation probability of all the reviewed human proteins			
Uniprot	Gene	Probability	Type
O14979	HNRDL	0.997	PSProteome
P22626	ROA2	0.997	PSProteome
P09651	ROA1	0.995	PSProteome
P31943	HNRH1	0.995	PSProteome
Q99729	ROAA	0.995	PSProteome
P51991	ROA3	0.994	PSProteome
Q14103	HNRPD	0.994	PSProteome
P55795	HNRH2	0.994	PSProteome
Q13148	TADBP	0.991	PSProteome
Q96EP5	DAZP1	0.991	PSProteome
Q12906	ILF3	0.991	PSProteome
O00571	DDX3X	0.989	PSProteome
Q9Y5A9	YTHD2	0.988	PSProteome
Q9BYJ9	YTHD1	0.986	PSProteome
Q07666	KHDR1	0.986	PSProteome
Q13151	ROA0	0.985	PSProteome
O14641	DVL2	0.985	PSProteome
Q32P51	RA1L2	0.984	PSProteome
P43243	MATR3	0.984	PSProteome
P35637	FUS	0.984	PSProteome
P31942	HNRH3	0.983	PSProteome
Q92841	DDX17	0.983	PSProteome
P11940	PABP1	0.982	PSProteome
Q13283	G3BP1	0.981	PSProteome
P23246	SFPQ	0.981	PSProteome
O60506	HNRPQ	0.981	PSProteome
Q01844	EWS	0.98	PSProteome
Q96AE4	FUBP1	0.98	PSProteome
Q9BUJ2	HNRL1	0.979	PSProteome
Q9NYB9	ABI2	0.978	PSProteome
Q01085	TIAR	0.977	PSProteome
Q92997	DVL3	0.977	PSProteome
P26368	U2AF2	0.976	PSProteome
Q16637	SMN	0.976	PSProteome
Q15233	NONO	0.976	PSProteome
O43390	HNRPR	0.976	PSProteome
Q07157	ZO1	0.975	PSProteome
Q96B97	SH3K1	0.974	PSProteome
Q8WWM7	ATX2L	0.974	PSProteome
P33240	CSTF2	0.973	PSProteome
P00519	ABL1	0.973	PSProteome
Q14011	CIRBP	0.973	PSProteome
Q06787	FMR1	0.973	PSProteome
O00267	SPT5H	0.972	PSProteome
Q96I24	FUBP3	0.972	PSProteome
Q13627	DYR1A	0.971	PSProteome
O00401	WASL	0.971	PSProteome
Q15637	SF01	0.971	PSProteome
Q00839	HNRPU	0.971	PSProteome
Q92804	RBP56	0.97	PSProteome
Q14247	SRC8	0.97	PSProteome
Q86XP3	DDX42	0.97	PSProteome
A0A024RB53	HNRPA1	0.968	PSProteome
P38432	COIL	0.968	PSProteome
P10636	TAU	0.968	PSProteome
P52948	NUP98	0.968	PSProteome
P17844	DDX5	0.967	PSProteome
Q9UDY2	ZO2	0.965	PSProteome
P22087	FBRL	0.964	PSProteome
K7EK33	DAZAP1	0.964	PSProteome
P10275	ANDR	0.964	PSProteome
P61978	HNRPK	0.964	PSProteome
P04637	P53	0.963	PSProteome
Q9UN86	G3BP2	0.963	PSProteome
P98179	RBM3	0.962	PSProteome
Q7Z739	YTHD3	0.962	PSProteome
Q8WXF1	PSPC1	0.962	PSProteome
Q92945	FUBP2	0.962	PSProteome
O95793	STAU1	0.962	PSProteome
Q8IZP0	ABI1	0.961	PSProteome
P98175	RBM10	0.961	PSProteome
Q99700	ATX2	0.959	PSProteome
P06748	NPM	0.959	PSProteome
Q15056	IF4H	0.957	PSProteome
Q13310	PABP4	0.957	PSProteome
P51116	FXR2	0.957	PSProteome
P25490	TYY1	0.957	PSProteome
P31483	TIA1	0.956	PSProteome
P24928	RPB1	0.956	PSProteome
Q86V81	THOC4	0.956	PSProteome
Q96PK6	RBM14	0.955	PSProteome
P50995	ANX11	0.955	PSProteome
P51608	MECP2	0.955	PSProteome
P50552	VASP	0.954	PSProteome
P14866	HNRPL	0.953	PSProteome
Q8TAQ2	SMRC2	0.953	PSProteome
G8JLB6	HNRNPH1	0.952	PSProteome
P52597	HNRPF	0.952	PSProteome
Q15717	ELAV1	0.951	PSProteome
P48431	SOX2	0.95	PSProteome
Q13094	LCP2	0.949	PSProteome
P01106	MYC	0.949	PSProteome
P17600	SYN1	0.949	PSProteome
P17931	LEG3	0.949	PSProteome
Q6PKG0	LARP1	0.949	PSProteome
Q15811	ITSN1	0.948	PSProteome
Q12888	TP53B	0.948	PSProteome
Q9UHD8	9-Sep	0.948	PSProteome
Q9ULX6	AKP8L	0.948	PSProteome
P67809	YBOX1	0.948	PSProteome
P42684	ABL2	0.946	PSProteome
Q15648	MED1	0.945	PSProteome
Q9UPQ9	TNR6B	0.945	PSProteome
P07910	HNRPC	0.945	PSProteome
Q9UKM9	RALY	0.945	PSProteome
Q9UHD9	UBQL2	0.944	PSProteome
Q9NR30	DDX21	0.944	PSProteome
Q9NQZ3	DAZ1	0.943	PSProteome
O43823	AKAP8	0.943	PSProteome
Q13501	SQSTM	0.942	PSProteome
Q92922	SMRC1	0.942	PSProteome
Q9UER7	DAXX	0.941	PSProteome
O95817	BAG3	0.941	PSProteome
Q15459	SF3A1	0.941	PSProteome
Q96S59	RANB9	0.941	PSProteome
Q8NC51	PAIRB	0.941	PSProteome
Q9H0L4	CSTFT	0.94	PSProteome
O43432	IF4G3	0.94	PSProteome
O60885	BRD4	0.94	PSProteome
Q9H4G0	E41L1	0.94	PSProteome
Q9NWB1	RFOX1	0.939	PSProteome
O75190	DNJB6	0.939	PSProteome
P26599	PTBP1	0.938	PSProteome
P51532	SMCA4	0.937	PSProteome
Q9UPP1	PHF8	0.937	PSProteome
Q15047	SETB1	0.937	PSProteome
Q07889	SOS1	0.936	PSProteome
Q13823	NOG2	0.936	PSProteome
D6RBZ0	HNRNPAB	0.936	PSProteome
Q8NCA5	FA98A	0.936	PSProteome
O95835	LATS1	0.936	PSProteome
Q13625	ASPP2	0.936	PSProteome
B1PRL2	B1PRL2	0.935	PSProteome
P78352	DLG4	0.935	PSProteome
Q9UKV8	AGO2	0.935	PSProteome
P38159	RBMX	0.935	PSProteome
Q14498	RBM39	0.935	PSProteome
Q16630	CPSF6	0.935	PSProteome
O60563	CCNT1	0.934	PSProteome
O43670	ZN207	0.934	PSProteome
P49790	NU153	0.934	PSProteome
O14640	DVL1	0.934	PSProteome
Q9Y5X1	SNX9	0.933	PSProteome
P46087	NOP2	0.933	PSProteome
P52756	RBM5	0.933	PSProteome
P55854	SUMO3	0.932	PSProteome
P62993	GRB2	0.931	PSProteome
Q93052	LPP	0.931	PSProteome
P54727	RD23B	0.931	PSProteome
O43251	RFOX2	0.931	PSProteome
Q08211	DHX9	0.931	PSProteome
P23769	GATA2	0.93	PSProteome
Q9NY12	GAR1	0.93	PSProteome
P06241	FYN	0.93	PSProteome
P45973	CBX5	0.929	PSProteome
O15169	AXIN1	0.929	PSProteome
Q13435	SF3B2	0.929	PSProteome
P78344	IF4G2	0.928	PSProteome
P38646	GRP75	0.928	PSProteome
Q5T8P6	RBM26	0.928	PSProteome
Q9Y6Q9	NCOA3	0.928	PSProteome
Q96ST3	SIN3A	0.928	PSProteome
Q9UPN9	TRI33	0.928	PSProteome
Q8N684	CPSF7	0.927	PSProteome
Q14677	EPN4	0.927	PSProteome
P14618	KPYM	0.926	PSProteome
P26196	DDX6	0.926	PSProteome
Q5BKZ1	ZN326	0.926	PSProteome
Q96J02	ITCH	0.926	PSProteome
